Entity,Code,Year,Annual CO₂ emissions (per capita)
Afghanistan,AFG,2018,0.27737236
Afghanistan,AFG,2019,0.27472728
Afghanistan,AFG,2020,0.28458965
Afghanistan,AFG,2021,0.2467185
Afghanistan,AFG,2022,0.25062045
Africa,,2018,1.0589373
Africa,,2019,1.0815163
Africa,,2020,0.99283797
Africa,,2021,1.0448412
Africa,,2022,1.0096707
Albania,ALB,2018,1.7949029
Albania,ALB,2019,1.7124815
Albania,ALB,2020,1.6939825
Albania,ALB,2021,1.802687
Albania,ALB,2022,1.5908402
Algeria,DZA,2018,4.104483
Algeria,DZA,2019,4.2135787
Algeria,DZA,2020,3.8857946
Algeria,DZA,2021,4.0668306
Algeria,DZA,2022,4.238998
Andorra,AND,2018,6.6280575
Andorra,AND,2019,6.4186583
Andorra,AND,2020,4.876055
Andorra,AND,2021,5.2824354
Andorra,AND,2022,5.311056
Angola,AGO,2018,0.7437751
Angola,AGO,2019,0.6860121
Angola,AGO,2020,0.49473175
Angola,AGO,2021,0.5565367
Angola,AGO,2022,0.59180546
Anguilla,AIA,2018,8.944464
Anguilla,AIA,2019,9.625867
Anguilla,AIA,2020,9.12056
Anguilla,AIA,2021,9.600221
Anguilla,AIA,2022,10.061682
Antigua and Barbuda,ATG,2018,6.768622
Antigua and Barbuda,ATG,2019,6.9769855
Antigua and Barbuda,ATG,2020,6.700688
Antigua and Barbuda,ATG,2021,6.8632064
Antigua and Barbuda,ATG,2022,6.9125686
Argentina,ARG,2018,4.0865293
Argentina,ARG,2019,4.011869
Argentina,ARG,2020,3.6425223
Argentina,ARG,2021,4.1974697
Argentina,ARG,2022,4.047052
Armenia,ARM,2018,2.000749
Armenia,ARM,2019,2.1639683
Armenia,ARM,2020,2.3505504
Armenia,ARM,2021,2.5609183
Armenia,ARM,2022,2.6723685
Aruba,ABW,2018,8.15775
Aruba,ABW,2019,7.766699
Aruba,ABW,2020,7.6410794
Aruba,ABW,2021,8.004834
Aruba,ABW,2022,8.241623
Asia,,2018,4.41561
Asia,,2019,4.4992776
Asia,,2020,4.4149313
Asia,,2021,4.5623293
Asia,,2022,4.685265
Asia (excl. China and India),,2018,4.0822535
Asia (excl. China and India),,2019,4.134728
Asia (excl. China and India),,2020,3.9678957
Asia (excl. China and India),,2021,4.0292544
Asia (excl. China and India),,2022,4.059062
Australia,AUS,2018,16.512163
Australia,AUS,2019,16.28262
Australia,AUS,2020,15.481285
Australia,AUS,2021,14.96633
