Entity,Code,Year,GDP per capita,900793-annotations
Afghanistan,AFG,2018,1888.814,
Afghanistan,AFG,2019,2031.7373,
Afghanistan,AFG,2020,1928.4547,
Afghanistan,AFG,2021,1485.547,
Afghanistan,AFG,2022,1357.9878,
Albania,ALB,2018,11426.92,
Albania,ALB,2019,11715.307,
Albania,ALB,2020,11372.541,
Albania,ALB,2021,12455.917,
Albania,ALB,2022,12978.101,
Algeria,DZA,2018,14083.772,
Algeria,DZA,2019,14000.279,
Algeria,DZA,2020,13086.293,
Algeria,DZA,2021,13337.262,
Algeria,DZA,2022,13506.444,
Angola,AGO,2018,7180.3555,
Angola,AGO,2019,6886.954,
Angola,AGO,2020,6279.929,
Angola,AGO,2021,6137.004,
Angola,AGO,2022,6118.905,
Argentina,ARG,2018,18460.87,
Argentina,ARG,2019,17912.637,
Argentina,ARG,2020,15975.839,
Argentina,ARG,2021,17470.682,
Argentina,ARG,2022,18292.318,
Armenia,ARM,2018,11490.369,
Armenia,ARM,2019,12399.231,
Armenia,ARM,2020,11546.176,
Armenia,ARM,2021,12242.478,
Armenia,ARM,2022,13837.577,
Australia,AUS,2018,49614.387,
Australia,AUS,2019,49814.67,
Australia,AUS,2020,48268.945,
Australia,AUS,2021,50704.934,
Australia,AUS,2022,52049.43,
Austria,AUT,2018,43032.215,
Austria,AUT,2019,43488.668,
Austria,AUT,2020,40503.04,
Austria,AUT,2021,42184.695,
Austria,AUT,2022,43792.855,
Azerbaijan,AZE,2018,16753.209,
Azerbaijan,AZE,2019,17029.906,
Azerbaijan,AZE,2020,16189.511,
Azerbaijan,AZE,2021,16971.725,
Azerbaijan,AZE,2022,17682.94,
Bahrain,BHR,2018,39501.176,
Bahrain,BHR,2019,39499.707,
Bahrain,BHR,2020,36890.504,
Bahrain,BHR,2021,37323.105,
Bahrain,BHR,2022,38651.6,
Bangladesh,BGD,2018,4056.6465,
Bangladesh,BGD,2019,4242.7515,
Bangladesh,BGD,2020,4418.9644,
Bangladesh,BGD,2021,4684.003,
Bangladesh,BGD,2022,4925.721,
Barbados,BRB,2018,12029.747,
Barbados,BRB,2019,12040.277,
Barbados,BRB,2020,10487.387,
Barbados,BRB,2021,10386.526,
Barbados,BRB,2022,11545.848,
Belarus,BLR,2018,18809.494,
Belarus,BLR,2019,19130.395,
Belarus,BLR,2020,19053.156,
Belarus,BLR,2021,19541.914,
Belarus,BLR,2022,18699.799,
Belgium,BEL,2018,40471.914,
Belgium,BEL,2019,41155.527,
Belgium,BEL,2020,38763.44,
Belgium,BEL,2021,40970.805,
Belgium,BEL,2022,41872.395,
Benin,BEN,2018,2192.261,
Benin,BEN,2019,2276.1038,
Benin,BEN,2020,2297.7698,
Benin,BEN,2021,2395.1663,
Benin,BEN,2022,2477.0903,
Bolivia,BOL,2018,6679.4385,
Bolivia,BOL,2019,6730.809,
Bolivia,BOL,2020,6062.065,
Bolivia,BOL,2021,6355.615,
