Entity,Code,Year,Period life expectancy at birth
Afghanistan,AFG,2018,62.4434
Afghanistan,AFG,2019,62.9411
Afghanistan,AFG,2020,61.4537
Afghanistan,AFG,2021,60.4174
Afghanistan,AFG,2022,65.617
Africa,,2018,62.1674
Africa,,2019,62.449
Africa,,2020,62.2572
Africa,,2021,61.7866
Africa,,2022,62.9205
Albania,ALB,2018,79.2377
Albania,ALB,2019,79.4669
Albania,ALB,2020,77.8241
Albania,ALB,2021,76.8442
Albania,ALB,2022,78.7688
Algeria,DZA,2018,75.5554
Algeria,DZA,2019,75.6818
Algeria,DZA,2020,73.2568
Algeria,DZA,2021,75.2077
Algeria,DZA,2022,76.1289
American Samoa,ASM,2018,72.794
American Samoa,ASM,2019,72.7511
American Samoa,ASM,2020,72.6717
American Samoa,ASM,2021,72.708
American Samoa,ASM,2022,72.7521
Americas,,2018,76.6965
Americas,,2019,76.857
Americas,,2020,74.9717
Americas,,2021,73.8796
Americas,,2022,76.1444
Andorra,AND,2018,84.2416
Andorra,AND,2019,84.098
Andorra,AND,2020,79.4177
Andorra,AND,2021,82.3311
Andorra,AND,2022,84.0164
Angola,AGO,2018,62.6219
Angola,AGO,2019,63.0511
Angola,AGO,2020,63.1164
Angola,AGO,2021,62.9581
Angola,AGO,2022,64.2455
Anguilla,AIA,2018,78.2359
Anguilla,AIA,2019,78.4253
Anguilla,AIA,2020,78.6562
Anguilla,AIA,2021,78.4144
Anguilla,AIA,2022,79.1194
Antigua and Barbuda,ATG,2018,77.1325
Antigua and Barbuda,ATG,2019,77.1681
Antigua and Barbuda,ATG,2020,77.1613
Antigua and Barbuda,ATG,2021,77.197
Antigua and Barbuda,ATG,2022,77.4833
Argentina,ARG,2018,76.7698
Argentina,ARG,2019,76.8475
Argentina,ARG,2020,75.8781
Argentina,ARG,2021,73.9485
Argentina,ARG,2022,75.8061
Armenia,ARM,2018,74.9783
Armenia,ARM,2019,75.1931
Armenia,ARM,2020,68.8898
Armenia,ARM,2021,72.5524
Armenia,ARM,2022,74.6333
Aruba,ABW,2018,75.8797
Aruba,ABW,2019,76.0193
Aruba,ABW,2020,75.4061
Aruba,ABW,2021,73.655
Aruba,ABW,2022,76.2258
Asia,,2018,73.7937
Asia,,2019,74.0468
Asia,,2020,73.6064
Asia,,2021,72.3714
Asia,,2022,74.4278
Australia,AUS,2018,83.2582
Australia,AUS,2019,83.2412
Australia,AUS,2020,83.6639
Australia,AUS,2021,83.564
Australia,AUS,2022,82.7662
Austria,AUT,2018,81.6859
Austria,AUT,2019,81.9072
Austria,AUT,2020,81.8037
Austria,AUT,2021,81.8204
Austria,AUT,2022,81.2959
Azerbaijan,AZE,2018,73.0156
Azerbaijan,AZE,2019,73.29
Azerbaijan,AZE,2020,70.3116
Azerbaijan,AZE,2021,70.9994
Azerbaijan,AZE,2022,74.125
