Entity,Code,Avg GDP per capita (5y)
Afghanistan,AFG,1738.50816
Albania,ALB,11989.7572
Algeria,DZA,13602.810000000001
Angola,AGO,6520.6295
Argentina,ARG,17622.4692
Armenia,ARM,12303.1662
Australia,AUS,50090.4732
Austria,AUT,42600.2946
Azerbaijan,AZE,16925.4582
Bahrain,BHR,38373.2184
Bangladesh,BGD,4465.61728
Barbados,BRB,11297.957
Belarus,BLR,19046.9516
Belgium,BEL,40646.8162
Benin,BEN,2327.67824
Bolivia,BOL,6461.86362
Bosnia and Herzegovina,BIH,11239.961
Botswana,BWA,15477.923999999999
Brazil,BRA,14214.871799999999
Bulgaria,BGR,19074.6938
Burkina Faso,BFA,1661.44666
Burundi,BDI,726.15085
Cambodia,KHM,3811.63152
Cameroon,CMR,2804.13692
Canada,CAN,44554.9942
Cape Verde,CPV,6670.80636
Central African Republic,CAF,611.957748
Chad,TCD,1469.00848
Chile,CHL,21874.3244
China,CHN,17597.4604
Colombia,COL,13497.8386
Comoros,COM,1858.10602
Congo,COG,4355.94096
Costa Rica,CRI,14756.7204
Cote d'Ivoire,CIV,3749.5981
Croatia,HRV,23997.498
Cuba,CUB,7803.8807
Cyprus,CYP,29957.0102
Czechia,CZE,31539.393
Czechoslovakia,OWID_CZS,30041.2006
Democratic Republic of Congo,COD,811.849422
Denmark,DNK,48615.1258
Djibouti,DJI,3467.2789600000006
Dominica,DMA,8800.350020000002
Dominican Republic,DOM,16523.56
Ecuador,ECU,10202.3356
Egypt,EGY,12500.737
El Salvador,SLV,8773.779120000001
Equatorial Guinea,GNQ,24181.0488
Estonia,EST,28986.0294
Eswatini,SWZ,8402.1579
Ethiopia,ETH,2113.88968
Finland,FIN,39771.345799999996
France,FRA,38172.356799999994
Gabon,GAB,15953.6066
Gambia,GMB,1945.5204
Georgia,GEO,12758.6584
Germany,DEU,46188.5216
Ghana,GHA,4125.74792
Greece,GRC,23611.3462
Guatemala,GTM,7601.7078599999995
Guinea,GIN,1727.7251199999998
Guinea-Bissau,GNB,1561.16004
Haiti,HTI,1654.4999199999997
Honduras,HND,4993.71096
Hong Kong,HKG,49064.9548
Hungary,HUN,27379.408000000003
Iceland,ISL,41676.855599999995
India,IND,7230.33756
Indonesia,IDN,12189.8922
Iran,IRN,17875.3294
Iraq,IRQ,13014.6522
Ireland,IRL,58097.5434
Israel,ISR,34305.5784
Italy,ITA,34798.7644
Jamaica,JAM,7353.081539999999
Japan,JPN,37902.0642
Jordan,JOR,9081.6648
Kazakhstan,KAZ,25744.2994
Kenya,KEN,3230.7922200000003
Kuwait,KWT,70646.026
Kyrgyzstan,KGZ,5175.80354
Laos,LAO,6822.848060000001
Latvia,LVA,26062.089799999998
Lebanon,LBN,11437.829000000002
Lesotho,LSO,2403.79372
Liberia,LBR,803.925858
Libya,LBY,15154.0446
Lithuania,LTU,29401.9414
Luxembourg,LUX,54739.668999999994
Madagascar,MDG,1370.55862
Malawi,MWI,1193.21822
Malaysia,MYS,25366.976799999997
Mali,MLI,1662.7548
Malta,MLT,32548.878599999996
Mauritania,MRT,3593.25922
Mauritius,MUS,20164.7198
Mexico,MEX,16239.930599999998
Moldova,MDA,6926.26912
Mongolia,MNG,13343.261799999998
Montenegro,MNE,19603.9498
Morocco,MAR,8313.4766
Mozambique,MOZ,1095.86322
Myanmar,MMR,5703.57942
Namibia,NAM,8176.624400000001
Nepal,NPL,2900.56976
Netherlands,NLD,47871.552599999995
New Zealand,NZL,37054.6776
Nicaragua,NIC,4859.805259999999
Niger,NER,963.726738
Nigeria,NGA,5097.672280000001
North Korea,PRK,1613.14302
North Macedonia,MKD,13571.6266
Norway,NOR,85619.83
Oman,OMN,47885.4726
Pakistan,PAK,5351.3595399999995
Palestine,PSE,4872.00506
Panama,PAN,21999.802000000003
Paraguay,PRY,8780.6508
Peru,PER,12361.7296
Philippines,PHL,8145.266159999999
Poland,POL,29751.2126
Portugal,PRT,27443.3136
Puerto Rico,PRI,34479.0
Qatar,QAT,147788.884
Romania,ROU,24873.634599999998
Russia,RUS,25223.3282
Rwanda,RWA,2038.2415800000003
Saint Lucia,LCA,9944.62444
Sao Tome and Principe,STP,3787.4122
Saudi Arabia,SAU,50222.361
Senegal,SEN,2573.36082
Serbia,SRB,15758.208000000002
Seychelles,SYC,31019.9146
Sierra Leone,SLE,1671.82284
Singapore,SGP,75879.6308
Slovakia,SVK,27114.6164
Slovenia,SVN,30423.5302
South Africa,ZAF,11428.283
South Korea,KOR,39471.230599999995
Spain,ESP,33404.4082
Sri Lanka,LKA,11579.155
Sweden,SWE,45583.779800000004
Switzerland,CHE,62214.7798
Syria,SYR,2976.99104
Taiwan,TWN,49376.8994
Tajikistan,TJK,4935.44894
Tanzania,TZA,2938.74872
Thailand,THA,16354.3698
Togo,TGO,1514.47434
Trinidad and Tobago,TTO,26401.0364
Tunisia,TUN,10964.5056
Turkey,TUR,24881.5584
Turkmenistan,TKM,17262.5468
USSR,OWID_USS,19270.648599999997
Uganda,UGA,2080.6715400000003
Ukraine,UKR,9523.949120000001
United Arab Emirates,ARE,73690.92079999999
United Kingdom,GBR,37601.9308
United States,USA,56462.6606
Uruguay,URY,19455.236599999997
Uzbekistan,UZB,11575.814600000002
Venezuela,VEN,6324.8913
Vietnam,VNM,7412.333259999999
World,OWID_WRL,16065.4432
Yemen,YEM,2101.97226
Yugoslavia,OWID_YGS,17790.155
Zambia,ZMB,3384.47126
Zimbabwe,ZWE,1725.9958
