Country,Year,Month,Unemployment_rate
Portugal,2020,1,6.8
Portugal,2020,2,6.7
Portugal,2020,3,7.1
Portugal,2020,4,7.3
Portugal,2020,5,7.0
Portugal,2020,6,6.9
Portugal,2020,7,6.8
Portugal,2020,8,6.7
Portugal,2020,9,6.6
Portugal,2020,10,6.5
Portugal,2020,11,6.4
Portugal,2020,12,6.3
Portugal,2021,1,6.2
Portugal,2021,2,6.1
Portugal,2021,3,6.0
Portugal,2021,4,5.9
Portugal,2021,5,5.8
Portugal,2021,6,5.7
Portugal,2021,7,5.6
Portugal,2021,8,5.5
Portugal,2021,9,5.4
Portugal,2021,10,5.3
Portugal,2021,11,5.2
Portugal,2021,12,5.1
Portugal,2022,1,5.0
Portugal,2022,2,5.0
Portugal,2022,3,4.9
Portugal,2022,4,4.9
Portugal,2022,5,4.8
Portugal,2022,6,4.8
Portugal,2022,7,4.7
Portugal,2022,8,4.7
Portugal,2022,9,4.6
Portugal,2022,10,4.6
Portugal,2022,11,4.5
Portugal,2022,12,4.5
Portugal,2023,1,4.4
Portugal,2023,2,4.4
Portugal,2023,3,4.3
Portugal,2023,4,4.3
Portugal,2023,5,4.2
Portugal,2023,6,4.2
Portugal,2023,7,4.1
Portugal,2023,8,4.1
Portugal,2023,9,4.0
Portugal,2023,10,4.0
Portugal,2023,11,3.9
Portugal,2023,12,3.9
Portugal,2024,1,3.8
Portugal,2024,2,3.8
Portugal,2024,3,3.7
Portugal,2024,4,3.7
Portugal,2024,5,3.6
Portugal,2024,6,3.6
Portugal,2024,7,3.5
Portugal,2024,8,3.5
Portugal,2024,9,3.4
Portugal,2024,10,3.4
Portugal,2024,11,3.3
Portugal,2024,12,3.3
Portugal,2025,1,3.2
Portugal,2025,2,3.2
Portugal,2025,3,3.1
Portugal,2025,4,3.1
Portugal,2025,5,3.0
Portugal,2025,6,3.0
Portugal,2025,7,2.9
Portugal,2025,8,2.9
Portugal,2025,9,2.8
Portugal,2025,10,2.8
Portugal,2025,11,2.7
Portugal,2025,12,2.7
Canada,2020,1,9.6
Canada,2020,2,9.5
Canada,2020,3,10.0
Canada,2020,4,13.0
Canada,2020,5,12.3
Canada,2020,6,11.5
Canada,2020,7,10.8
Canada,2020,8,10.2
Canada,2020,9,9.9
Canada,2020,10,9.7
Canada,2020,11,9.5
Canada,2020,12,9.3
Canada,2021,1,9.0
Canada,2021,2,8.8
Canada,2021,3,8.6
Canada,2021,4,8.4
Canada,2021,5,8.2
Canada,2021,6,8.0
Canada,2021,7,7.8
Canada,2021,8,7.7
Canada,2021,9,7.5
Canada,2021,10,7.4
Canada,2021,11,7.2
Canada,2021,12,7.0
Canada,2022,1,6.8
Canada,2022,2,6.7
Canada,2022,3,6.5
Canada,2022,4,6.4
Canada,2022,5,6.3
Canada,2022,6,6.2
Canada,2022,7,6.1
Canada,2022,8,6.0
Canada,2022,9,5.9
Canada,2022,10,5.8
Canada,2022,11,5.7
Canada,2022,12,5.6
Canada,2023,1,5.5
Canada,2023,2,5.5
Canada,2023,3,5.4
Canada,2023,4,5.3
Canada,2023,5,5.2
Canada,2023,6,5.1
Canada,2023,7,5.0
Canada,2023,8,5.0
Canada,2023,9,4.9
Canada,2023,10,4.8
Canada,2023,11,4.8
Canada,2023,12,4.7
Canada,2024,1,4.6
Canada,2024,2,4.6
Canada,2024,3,4.5
Canada,2024,4,4.5
Canada,2024,5,4.4
Canada,2024,6,4.4
Canada,2024,7,4.3
Canada,2024,8,4.3
Canada,2024,9,4.2
Canada,2024,10,4.2
Canada,2024,11,4.1
Canada,2024,12,4.1
Canada,2025,1,4.0
Canada,2025,2,4.0
Canada,2025,3,3.9
Canada,2025,4,3.9
Canada,2025,5,3.8
Canada,2025,6,3.8
Canada,2025,7,3.7
Canada,2025,8,3.7
Canada,2025,9,3.6
Canada,2025,10,3.6
Canada,2025,11,3.5
Canada,2025,12,3.5
Japan,2020,1,2.8
Japan,2020,2,2.9
Japan,2020,3,2.9
Japan,2020,4,2.8
Japan,2020,5,2.8
Japan,2020,6,2.8
Japan,2020,7,2.7
Japan,2020,8,2.7
Japan,2020,9,2.7
Japan,2020,10,2.6
Japan,2020,11,2.6
Japan,2020,12,2.5
Japan,2021,1,2.5
Japan,2021,2,2.5
Japan,2021,3,2.5
Japan,2021,4,2.4
Japan,2021,5,2.4
Japan,2021,6,2.4
Japan,2021,7,2.3
Japan,2021,8,2.3
Japan,2021,9,2.3
Japan,2021,10,2.2
Japan,2021,11,2.2
Japan,2021,12,2.1
Japan,2022,1,2.1
Japan,2022,2,2.1
Japan,2022,3,2.1
Japan,2022,4,2.0
Japan,2022,5,2.0
Japan,2022,6,2.0
Japan,2022,7,2.0
Japan,2022,8,2.0
Japan,2022,9,1.9
Japan,2022,10,1.9
Japan,2022,11,1.9
Japan,2022,12,1.9
Japan,2023,1,1.8
Japan,2023,2,1.8
Japan,2023,3,1.8
Japan,2023,4,1.8
Japan,2023,5,1.8
Japan,2023,6,1.8
Japan,2023,7,1.8
Japan,2023,8,1.7
Japan,2023,9,1.7
Japan,2023,10,1.7
Japan,2023,11,1.7
Japan,2023,12,1.7
Japan,2024,1,1.7
Japan,2024,2,1.7
Japan,2024,3,1.6
Japan,2024,4,1.6
Japan,2024,5,1.6
Japan,2024,6,1.6
Japan,2024,7,1.6
Japan,2024,8,1.6
Japan,2024,9,1.6
Japan,2024,10,1.6
Japan,2024,11,1.6
Japan,2024,12,1.6
Japan,2025,1,1.6
Japan,2025,2,1.6
Japan,2025,3,1.6
Japan,2025,4,1.6
Japan,2025,5,1.6
Japan,2025,6,1.6
Japan,2025,7,1.6
Japan,2025,8,1.6
Japan,2025,9,1.6
Japan,2025,10,1.6
Japan,2025,11,1.6
Japan,2025,12,1.6
Poland,2020,1,3.3
Poland,2020,2,3.3
Poland,2020,3,3.4
Poland,2020,4,3.5
Poland,2020,5,3.5
Poland,2020,6,3.6
Poland,2020,7,3.6
Poland,2020,8,3.6
Poland,2020,9,3.6
Poland,2020,10,3.5
Poland,2020,11,3.5
Poland,2020,12,3.4
Poland,2021,1,3.3
Poland,2021,2,3.3
Poland,2021,3,3.3
Poland,2021,4,3.3
Poland,2021,5,3.2
Poland,2021,6,3.2
Poland,2021,7,3.2
Poland,2021,8,3.1
Poland,2021,9,3.1
Poland,2021,10,3.1
Poland,2021,11,3.0
Poland,2021,12,3.0
Poland,2022,1,3.0
Poland,2022,2,3.0
Poland,2022,3,2.9
Poland,2022,4,2.9
Poland,2022,5,2.9
Poland,2022,6,2.9
Poland,2022,7,2.8
Poland,2022,8,2.8
Poland,2022,9,2.8
Poland,2022,10,2.8
Poland,2022,11,2.7
Poland,2022,12,2.7
Poland,2023,1,2.7
Poland,2023,2,2.7
Poland,2023,3,2.7
Poland,2023,4,2.7
Poland,2023,5,2.7
Poland,2023,6,2.7
Poland,2023,7,2.7
Poland,2023,8,2.7
Poland,2023,9,2.7
Poland,2023,10,2.6
Poland,2023,11,2.6
Poland,2023,12,2.6
Poland,2024,1,2.6
Poland,2024,2,2.6
Poland,2024,3,2.6
Poland,2024,4,2.6
Poland,2024,5,2.5
Poland,2024,6,2.5
Poland,2024,7,2.5
Poland,2024,8,2.5
Poland,2024,9,2.5
Poland,2024,10,2.5
Poland,2024,11,2.5
Poland,2024,12,2.5
Poland,2025,1,2.5
Poland,2025,2,2.5
Poland,2025,3,2.5
Poland,2025,4,2.5
Poland,2025,5,2.5
Poland,2025,6,2.5
Poland,2025,7,2.5
Poland,2025,8,2.5
Poland,2025,9,2.5
Poland,2025,10,2.5
Poland,2025,11,2.5
Poland,2025,12,2.5
