Entity,Code,Year,GDP per capita,Unemployment Rate (%),Annual CO₂ emissions (per capita),Period life expectancy at birth
Afghanistan,AFG,2018,1888.814,11.196,0.27737236,62.4434
Afghanistan,AFG,2019,2031.7373,11.185,0.27472728,62.9411
Afghanistan,AFG,2020,1928.4547,11.71,0.28458965,61.4537
Afghanistan,AFG,2021,1485.547,11.994,0.2467185,60.4174
Afghanistan,AFG,2022,1357.9878,14.1,0.25062045,65.617
Albania,ALB,2018,11426.92,12.304,1.7949029,79.2377
Albania,ALB,2019,11715.307,11.466,1.7124815,79.4669
Albania,ALB,2020,11372.541,11.69,1.6939825,77.8241
Albania,ALB,2021,12455.917,11.474,1.802687,76.8442
Albania,ALB,2022,12978.101,10.137,1.5908402,78.7688
Algeria,DZA,2018,14083.772,12.137,4.104483,75.5554
Algeria,DZA,2019,14000.279,12.259,4.2135787,75.6818
Algeria,DZA,2020,13086.293,14.057,3.8857946,73.2568
Algeria,DZA,2021,13337.262,13.63,4.0668306,75.2077
Algeria,DZA,2022,13506.444,12.346,4.238998,76.1289
Angola,AGO,2018,7180.3555,16.594,0.7437751,62.6219
Angola,AGO,2019,6886.954,16.497,0.6860121,63.0511
Angola,AGO,2020,6279.929,16.69,0.49473175,63.1164
Angola,AGO,2021,6137.004,15.799,0.5565367,62.9581
Angola,AGO,2022,6118.905,14.602,0.59180546,64.2455
Argentina,ARG,2018,18460.87,9.22,4.0865293,76.7698
Argentina,ARG,2019,17912.637,9.843,4.011869,76.8475
Argentina,ARG,2020,15975.839,11.461,3.6425223,75.8781
Argentina,ARG,2021,17470.682,8.736,4.1974697,73.9485
Argentina,ARG,2022,18292.318,6.805,4.047052,75.8061
Armenia,ARM,2018,11490.369,18.966,2.000749,74.9783
Armenia,ARM,2019,12399.231,18.304,2.1639683,75.1931
Armenia,ARM,2020,11546.176,18.175,2.3505504,68.8898
Armenia,ARM,2021,12242.478,15.469,2.5609183,72.5524
Armenia,ARM,2022,13837.577,13.379,2.6723685,74.6333
Australia,AUS,2018,49614.387,5.3,16.512163,83.2582
Australia,AUS,2019,49814.67,5.159,16.28262,83.2412
Australia,AUS,2020,48268.945,6.456,15.481285,83.6639
Australia,AUS,2021,50704.934,5.116,14.96633,83.564
Australia,AUS,2022,52049.43,3.728,14.65893,82.7662
Austria,AUT,2018,43032.215,4.933,7.5287404,81.6859
Austria,AUT,2019,43488.668,4.56,7.651411,81.9072
Austria,AUT,2020,40503.04,5.201,6.969737,81.8037
Austria,AUT,2021,42184.695,6.459,7.3325477,81.8204
Austria,AUT,2022,43792.855,4.992,6.779517,81.2959
Azerbaijan,AZE,2018,16753.209,4.9,3.4439225,73.0156
Azerbaijan,AZE,2019,17029.906,5.0,3.734001,73.29
Azerbaijan,AZE,2020,16189.511,7.24,3.559036,70.3116
Azerbaijan,AZE,2021,16971.725,6.04,3.7422564,70.9994
Azerbaijan,AZE,2022,17682.94,5.65,3.999354,74.125
Bahrain,BHR,2018,39501.176,1.2,21.83343,80.4118
Bahrain,BHR,2019,39499.707,1.223,25.319227,80.4706
Bahrain,BHR,2020,36890.504,1.781,25.23751,78.6833
Bahrain,BHR,2021,37323.105,1.541,24.148386,78.0826
Bahrain,BHR,2022,38651.6,1.326,24.66764,80.9921
Bangladesh,BGD,2018,4056.6465,4.407,0.52963835,72.1217
Bangladesh,BGD,2019,4242.7515,4.441,0.57489496,72.6254
Bangladesh,BGD,2020,4418.9644,5.436,0.5756478,71.4211
Bangladesh,BGD,2021,4684.003,5.327,0.58768314,71.1035
Bangladesh,BGD,2022,4925.721,4.593,0.6030491,74.2647
Barbados,BRB,2018,12029.747,8.322,5.154179,76.3784
Barbados,BRB,2019,12040.277,8.412,4.949633,76.4951
Barbados,BRB,2020,10487.387,9.777,4.456891,76.6465
Barbados,BRB,2021,10386.526,9.433,4.2179356,76.5797
Barbados,BRB,2022,11545.848,8.365,4.6577086,75.6761
Belarus,BLR,2018,18809.494,4.763,6.558066,74.3344
Belarus,BLR,2019,19130.395,4.165,6.5890727,74.2555
Belarus,BLR,2020,19053.156,4.049,6.322667,72.269
Belarus,BLR,2021,19541.914,3.9,6.5786033,72.2206
Belarus,BLR,2022,18699.799,3.574,6.226867,74.3612
Belgium,BEL,2018,40471.914,5.941,8.772404,81.4805
Belgium,BEL,2019,41155.527,5.364,8.685232,81.8353
Belgium,BEL,2020,38763.44,5.545,7.9076037,80.7977
Belgium,BEL,2021,40970.805,6.248,8.204076,81.6591
Belgium,BEL,2022,41872.395,5.57,7.6375527,81.1589
Benin,BEN,2018,2192.261,1.41,0.45774767,59.7097
Benin,BEN,2019,2276.1038,1.214,0.41429225,59.8875
Benin,BEN,2020,2297.7698,1.502,0.42393637,60.154
Benin,BEN,2021,2395.1663,1.779,0.43283412,59.6103
Benin,BEN,2022,2477.0903,1.685,0.44276863,60.4751
Bolivia,BOL,2018,6679.4385,3.519,1.9558697,67.6992
Bolivia,BOL,2019,6730.809,3.682,1.9371525,67.8198
Bolivia,BOL,2020,6062.065,7.903,1.5504168,62.906
Bolivia,BOL,2021,6355.615,5.089,1.8234005,61.4268
Bolivia,BOL,2022,6481.3906,3.552,1.9448458,67.4342
Bosnia and Herzegovina,BIH,2018,10718.778,18.4,6.5186605,77.9425
Bosnia and Herzegovina,BIH,2019,11048.235,15.692,6.2203493,77.3939
Bosnia and Herzegovina,BIH,2020,10736.168,15.868,6.31391,76.0395
Bosnia and Herzegovina,BIH,2021,11553.761,14.897,6.554153,74.5673
Bosnia and Herzegovina,BIH,2022,12142.863,12.657,6.4724236,76.7772
Botswana,BWA,2018,15515.622,19.681,3.324487,66.3709
Botswana,BWA,2019,15747.324,20.094,3.209815,67.1668
Botswana,BWA,2020,14162.686,21.017,2.617259,67.6426
Botswana,BWA,2021,15612.078,23.106,2.782961,63.3025
Botswana,BWA,2022,16351.91,23.615,3.0311775,68.7487
Brazil,BRA,2018,14197.55,12.329,2.3123908,75.6335
Brazil,BRA,2019,14257.871,11.936,2.2979572,75.8093
Brazil,BRA,2020,13685.926,13.697,2.1470218,74.5058
Brazil,BRA,2021,14292.936,13.158,2.3696554,73.0377
Brazil,BRA,2022,14640.076,9.231,2.2826612,74.8719
Bulgaria,BGR,2018,17982.424,5.211,6.192869,74.9325
Bulgaria,BGR,2019,18840.764,4.23,6.0490556,75.0874
Bulgaria,BGR,2020,18203.832,5.125,5.274422,73.5992
Bulgaria,BGR,2021,19753.994,5.267,6.1601954,71.4137
Bulgaria,BGR,2022,20592.455,4.268,6.8755846,74.0342
Burkina Faso,BFA,2018,1605.3588,4.695,0.25570858,59.9719
Burkina Faso,BFA,2019,1651.1173,4.71,0.2680103,60.1842
Burkina Faso,BFA,2020,1638.8279,5.04,0.26156566,60.4536
Burkina Faso,BFA,2021,1706.9633,5.2,0.28773117,60.0463
Burkina Faso,BFA,2022,1704.966,5.389,0.29064742,60.7
Burundi,BDI,2018,730.9046,1.146,0.054395214,61.8065
Burundi,BDI,2019,738.9831,1.043,0.055907715,62.1801
Burundi,BDI,2020,720.446,1.03,0.05860566,62.5694
Burundi,BDI,2021,723.1921,1.118,0.05951778,62.1013
Burundi,BDI,2022,717.22845,0.915,0.06587466,62.8819
Cambodia,KHM,2018,3692.43,0.13,0.8564005,69.9935
Cambodia,KHM,2019,3896.7979,0.119,1.1301459,70.1267
Cambodia,KHM,2020,3728.1985,0.172,1.2550187,70.0594
Cambodia,KHM,2021,3796.4844,0.396,1.223931,69.3012
Cambodia,KHM,2022,3944.2468,0.231,1.2129679,70.528
Cameroon,CMR,2018,2815.3162,3.601,0.3968279,61.1888
Cameroon,CMR,2019,2832.0767,3.622,0.37658802,61.6952
Cameroon,CMR,2020,2769.2869,3.87,0.3707004,61.6738
Cameroon,CMR,2021,2791.79,3.973,0.36162904,61.1463
Cameroon,CMR,2022,2812.2148,3.653,0.3543776,62.4428
Canada,CAN,2018,45087.887,5.837,15.420052,81.9247
Canada,CAN,2019,45284.215,5.69,15.324565,82.2848
Canada,CAN,2020,42493.63,9.657,13.732821,81.6536
Canada,CAN,2021,44379.594,7.527,13.977163,81.976
Canada,CAN,2022,45529.645,5.279,14.107159,81.2493
Cape Verde,CPV,2018,6848.757,12.17,1.1132917,74.8397
Cape Verde,CPV,2019,7297.2793,12.128,1.225809,75.4486
Cape Verde,CPV,2020,5831.9985,14.69,1.0108902,73.8177
Cape Verde,CPV,2021,6173.23,13.976,1.1417755,74.4235
Cape Verde,CPV,2022,7202.767,12.246,1.1498797,75.9068
Central African Republic,CAF,2018,619.18744,5.517,0.05557588,52.2973
Central African Republic,CAF,2019,623.5598,5.607,0.06298451,31.5302
Central African Republic,CAF,2020,613.78937,6.196,0.06633153,50.5959
Central African Republic,CAF,2021,606.85913,6.375,0.07167305,40.2791
Central African Republic,CAF,2022,596.393,5.956,0.07402691,18.8177
Chad,TCD,2018,1541.4716,1.135,0.14752606,52.4467
Chad,TCD,2019,1543.8029,1.084,0.13783364,52.9927
Chad,TCD,2020,1463.5312,1.707,0.13680632,53.0818
Chad,TCD,2021,1402.6732,1.548,0.14977008,53.1362
Chad,TCD,2022,1393.5635,1.096,0.15173951,54.5275
Chile,CHL,2018,22175.664,7.623,4.469476,80.5594
Chile,CHL,2019,21924.408,7.493,4.7910333,80.3243
Chile,CHL,2020,20205.87,10.934,4.1391664,79.3488
Chile,CHL,2021,22324.96,9.281,4.298362,78.8764
Chile,CHL,2022,22740.72,8.249,4.385191,79.1762
China,CHN,2018,15977.008,4.31,7.2915606,77.709
China,CHN,2019,16879.54,4.56,7.5260706,77.9396
China,CHN,2020,17225.969,5.0,7.64075,78.0191
China,CHN,2021,18666.605,4.55,7.910899,78.1166
China,CHN,2022,19238.18,4.98,8.217776,78.2021
Colombia,COL,2018,13485.702,9.36,1.8523545,76.5791
Colombia,COL,2019,13603.993,10.28,1.9828873,76.7927
Colombia,COL,2020,12377.135,15.983,1.8231317,74.7565
Colombia,COL,2021,13553.399,13.898,2.0265136,72.6983
Colombia,COL,2022,14468.964,10.547,1.7286528,76.5081
Comoros,COM,2018,1801.6912,3.942,0.37039024,65.4009
Comoros,COM,2019,1832.4357,3.934,0.39594093,65.6622
Comoros,COM,2020,1869.9441,4.471,0.4613275,65.7559
Comoros,COM,2021,1886.0608,4.394,0.60904104,65.2009
Comoros,COM,2022,1900.3983,3.816,0.63734925,66.4806
Congo,COG,2018,4637.726,20.701,1.193601,64.472
Congo,COG,2019,4583.337,20.392,1.2985657,63.1523
Congo,COG,2020,4203.1104,22.198,1.334534,64.3907
Congo,COG,2021,4168.0244,21.96,1.2546886,64.1918
Congo,COG,2022,4187.507,20.108,1.446125,65.0003
Costa Rica,CRI,2018,14583.144,9.01,1.6069579,80.0896
Costa Rica,CRI,2019,14775.292,10.807,1.5322173,80.2963
Costa Rica,CRI,2020,13996.39,16.432,1.3416045,79.7252
Costa Rica,CRI,2021,14931.956,15.139,1.5149114,78.0501
Costa Rica,CRI,2022,15496.82,11.325,1.5762514,79.3164
Cote d'Ivoire,CIV,2018,3497.8928,2.85,0.37922856,59.7946
Cote d'Ivoire,CIV,2019,3703.0876,2.401,0.37380695,60.2741
Cote d'Ivoire,CIV,2020,3682.1353,2.584,0.38106292,60.1397
Cote d'Ivoire,CIV,2021,3853.1626,2.63,0.46106416,60.2897
Cote d'Ivoire,CIV,2022,4011.7122,2.306,0.47719425,61.5622
Croatia,HRV,2018,22678.035,8.432,4.396296,77.8654
Croatia,HRV,2019,23590.277,6.617,4.470374,78.197
Croatia,HRV,2020,21672.479,7.507,4.2666397,77.4972
Croatia,HRV,2021,25059.947,7.608,4.4343224,77.1412
Croatia,HRV,2022,26986.752,6.96,4.500902,78.2779
Cuba,CUB,2018,8262.988,1.7,2.050346,77.4259
Cuba,CUB,2019,8257.785,1.705,2.00725,77.4133
Cuba,CUB,2020,7364.1055,2.24,1.9040953,77.4075
Cuba,CUB,2021,7485.821,2.116,2.0273802,73.2006
Cuba,CUB,2022,7648.704,1.82,2.1029758,77.6291
Cyprus,CYP,2018,29089.975,8.504,5.763717,81.5558
Cyprus,CYP,2019,30284.795,7.155,5.692592,81.4543
Cyprus,CYP,2020,28634.457,7.755,5.300958,81.2302
Cyprus,CYP,2021,30252.326,7.513,5.2764926,80.5735
Cyprus,CYP,2022,31523.498,6.806,5.3108797,80.4337
Czechia,CZE,2018,31405.09,2.246,10.0789385,78.9612
Czechia,CZE,2019,32226.553,2.015,9.568804,79.1853
Czechia,CZE,2020,30365.37,2.55,8.688184,78.237
Czechia,CZE,2021,31452.557,2.803,9.175987,77.2342
Czechia,CZE,2022,32247.395,2.224,8.904502,79.1648
Democratic Republic of Congo,COD,2018,796.89246,4.618,0.04191342,59.9265
Democratic Republic of Congo,COD,2019,806.479,4.591,0.044305593,60.2425
Democratic Republic of Congo,COD,2020,794.2714,5.345,0.04484622,60.4283
Democratic Republic of Congo,COD,2021,817.43225,5.28,0.043290805,60.0444
Democratic Republic of Congo,COD,2022,844.172,4.522,0.057544336,60.9789
Denmark,DNK,2018,47717.457,5.131,5.973422,80.9909
Denmark,DNK,2019,48238.656,5.018,5.3228407,81.4343
Denmark,DNK,2020,47171.086,5.637,4.8528743,81.5458
Denmark,DNK,2021,49258.75,5.043,5.0545783,81.4363
Denmark,DNK,2022,50689.68,4.434,4.9288173,81.2906
Djibouti,DJI,2018,3308.117,26.184,0.43989566,64.1051
Djibouti,DJI,2019,3436.9502,26.256,0.49619916,64.3809
Djibouti,DJI,2020,3426.696,27.713,0.41898745,64.2001
Djibouti,DJI,2021,3541.5713,27.668,0.49731505,63.8301
Djibouti,DJI,2022,3623.0603,26.307,0.4840291,65.5402
Dominican Republic,DOM,2018,15944.744,5.861,2.337508,73.5553
Dominican Republic,DOM,2019,16587.236,6.356,2.6134562,73.1119
Dominican Republic,DOM,2020,15325.654,6.126,2.3825326,72.6358
Dominican Republic,DOM,2021,17046.646,7.702,2.6397047,71.7575
Dominican Republic,DOM,2022,17713.52,5.504,2.7802987,74.2108
Ecuador,ECU,2018,10716.904,3.53,2.2552624,77.2484
Ecuador,ECU,2019,10586.937,3.812,2.3115683,77.2862
Ecuador,ECU,2020,9646.065,6.127,1.8507442,72.0036
Ecuador,ECU,2021,9937.696,4.552,2.159484,72.7465
Ecuador,ECU,2022,10124.076,3.761,2.36007,76.5767
Egypt,EGY,2018,11895.312,9.855,2.2889705,70.9741
Egypt,EGY,2019,12300.201,7.851,2.1762276,71.2128
Egypt,EGY,2020,12234.504,7.974,2.2533324,69.7897
Egypt,EGY,2021,12868.262,7.441,2.4048865,68.9759
Egypt,EGY,2022,13205.406,7.344,2.2189891,71.0097
El Salvador,SLV,2018,8644.79,4.006,1.0373579,71.3836
El Salvador,SLV,2019,8849.834,4.17,1.2268993,71.7253
El Salvador,SLV,2020,8137.9746,5.008,0.98398876,70.2436
El Salvador,SLV,2021,9017.392,4.327,1.1152391,69.9414
El Salvador,SLV,2022,9218.905,2.999,1.2599217,71.9695
Equatorial Guinea,GNQ,2018,27353.846,7.967,4.351806,61.9151
Equatorial Guinea,GNQ,2019,25006.34,8.064,3.3012357,62.2965
Equatorial Guinea,GNQ,2020,23300.297,8.781,3.7224493,62.1408
Equatorial Guinea,GNQ,2021,22537.541,8.976,4.029795,62.4468
Equatorial Guinea,GNQ,2022,22707.22,8.455,4.1567073,63.3545
Estonia,EST,2018,27596.41,5.412,13.465254,78.3339
Estonia,EST,2019,28505.604,4.514,9.261298,78.7728
Estonia,EST,2020,28261.582,6.956,6.917664,78.8929
Estonia,EST,2021,30499.156,6.178,7.8024516,77.4095
Estonia,EST,2022,30067.395,5.571,8.863261,78.1674
Eswatini,SWZ,2018,8219.499,26.369,0.8682516,58.7072
Eswatini,SWZ,2019,8375.426,28.138,0.9316162,59.8496
Eswatini,SWZ,2020,8167.6895,32.944,0.8294222,59.8618
Eswatini,SWZ,2021,8725.725,34.153,0.819892,58.2284
Eswatini,SWZ,2022,8522.45,35.359,0.8435616,63.0283
Ethiopia,ETH,2018,1936.8275,2.802,0.14305523,65.2573
Ethiopia,ETH,2019,2030.6775,2.917,0.1484148,65.7413
Ethiopia,ETH,2020,2121.8591,3.994,0.14072774,65.9688
Ethiopia,ETH,2021,2190.6753,3.935,0.1466006,65.3299
Ethiopia,ETH,2022,2289.409,3.409,0.13526215,66.8971
Finland,FIN,2018,39430.906,7.361,8.291922,81.6265
Finland,FIN,2019,39874.8,6.695,7.686688,81.8643
Finland,FIN,2020,38871.703,7.759,6.82145,81.8219
Finland,FIN,2021,39977.855,7.617,6.825398,81.8137
Finland,FIN,2022,40701.465,6.719,6.5245185,81.2435
France,FRA,2018,38555.465,9.018,4.93138,82.5682
France,FRA,2019,39084.656,8.415,4.812466,82.7304
France,FRA,2020,35913.82,8.009,4.271517,82.1993
France,FRA,2021,38242.133,7.874,4.649748,82.3216
France,FRA,2022,39065.71,7.308,4.4555726,82.4753
Gabon,GAB,2018,16253.897,20.439,2.5147185,67.0426
Gabon,GAB,2019,16449.715,20.358,2.4726572,67.3369
Gabon,GAB,2020,15745.749,21.27,2.4266992,67.0725
Gabon,GAB,2021,15597.771,21.218,2.333091,67.0715
Gabon,GAB,2022,15720.901,20.399,2.3792052,67.713
Gambia,GMB,2018,1886.0532,4.127,0.27026132,64.0339
Gambia,GMB,2019,1952.326,4.538,0.2893204,64.4275
Gambia,GMB,2020,1914.1969,5.892,0.27817774,64.4183
Gambia,GMB,2021,1964.4937,6.269,0.2816257,63.8475
Gambia,GMB,2022,2010.5322,6.076,0.3064694,64.859
Georgia,GEO,2018,12035.715,12.667,2.6057036,73.9847
Georgia,GEO,2019,12631.664,11.565,2.770044,74.1649
Georgia,GEO,2020,11770.782,11.73,2.7341554,73.5094
Georgia,GEO,2021,12994.772,11.791,2.8375084,71.6353
Georgia,GEO,2022,14360.359,11.647,3.1622012,74.1409
Germany,DEU,2018,46377.39,3.384,9.101415,80.8747
Germany,DEU,2019,46761.945,3.163,8.480803,81.1893
Germany,DEU,2020,44996.43,3.881,7.738692,81.0036
Germany,DEU,2021,46159.05,3.594,8.100614,81.1059
Germany,DEU,2022,46647.793,3.12,7.942359,80.5796
Ghana,GHA,2018,3983.1216,3.253,0.49578497,64.1382
Ghana,GHA,2019,4143.3774,3.16,0.52513593,64.4554
Ghana,GHA,2020,4069.252,3.313,0.60098386,64.3089
Ghana,GHA,2021,4190.578,3.384,0.6321311,64.2862
Ghana,GHA,2022,4242.4106,3.084,0.6258142,65.246
Greece,GRC,2018,23403.611,19.179,6.6889496,81.4954
Greece,GRC,2019,23869.793,17.045,6.132932,81.3487
Greece,GRC,2020,21767.22,15.899,5.1944113,81.5361
Greece,GRC,2021,23732.201,14.656,5.4376464,80.5312
Greece,GRC,2022,25283.906,12.426,5.532692,79.9441
Guatemala,GTM,2018,7399.198,2.283,1.088612,71.4964
Guatemala,GTM,2019,7565.846,2.193,1.1259985,71.6394
Guatemala,GTM,2020,7309.368,2.955,0.98845255,69.9707
Guatemala,GTM,2021,7764.6963,2.174,1.1355486,67.8582
Guatemala,GTM,2022,7969.431,3.051,1.0596977,71.2064
Guinea,GIN,2018,1642.1047,4.787,0.29675895,59.0434
Guinea,GIN,2019,1690.8837,5.018,0.31487304,59.3785
Guinea,GIN,2020,1726.5083,6.018,0.331328,59.3499
Guinea,GIN,2021,1769.8623,5.827,0.29667225,59.3728
Guinea,GIN,2022,1809.2666,5.267,0.2883205,60.4316
Guinea-Bissau,GNB,2018,1511.8668,3.127,0.102933824,61.6516
Guinea-Bissau,GNB,2019,1543.4176,2.413,0.13034482,62.1612
Guinea-Bissau,GNB,2020,1531.3096,2.89,0.15469445,61.343
